1;Sport niv 1;1;fr;De quel petit objet se munit le golfeur pour surélever sa balle avant de la frapper ?;Tee;1;Le joueur peut poser sa balle sur une cheville de bois ou de plastique qui ne peut pas être utilisée en dehors des départs.;https://fr.wikipedia.org/wiki/Matériel_de_golf
1;Sport niv 1;2;fr;Quel sport de raquette porte le nom de la ville anglaise où il fut inventé ?;Badminton;1;Le badminton est toujours pratiqué en intérieur car avec le vent, en extérieur, le volant peut brusquement changer de direction.;https://fr.wikipedia.org/wiki/Badminton
1;Sport niv 1;3;fr;Combien y a-t-il de joueurs sur le terrain dans une équipe de football ?;Onze;1;Codifié par les Britanniques à la fin du XIXe siècle, le football s'est doté en 1904 d'une fédération internationale, la FIFA.;https://fr.wikipedia.org/wiki/Football
1;Sport niv 1;4;fr;Quel tapis à ressorts sert au gymnaste à faire toutes sortes de figures ?;Trampoline;1;Le terme générique de trampoline englobe trois disciplines : le trampoline, le tumbling et le double mini trampoline.;https://fr.wikipedia.org/wiki/Trampoline_(sport)
1;Sport niv 1;5;fr;Que réussit une équipe de rugby qui remporte les quatre matches du Tournoi des Six Nations ?;Grand chelem;1;Pour des raisons de sponsoring, ce tournoi est officiellement appelé RBS Six Nations (RBS pour Royal Bank of Scotland).;https://fr.wikipedia.org/wiki/Tournoi_des_Six_Nations
1;Sport niv 1;6;fr;Que signale le drapeau à damier noir et jaune dans une station de sports d'hiver ?;Risque d'avalanche;1;La puissance des avalanches est telle qu'elles emportent facilement tout élément mobile rencontré (hommes, animaux, rochers).;https://fr.wikipedia.org/wiki/Avalanche
1;Sport niv 1;7;fr;Au golf, au milieu de quoi le trou est-il généralement placé ?;Green;1;Le golf, qui souffre d'un traitement médiatique et financier inégal, est un sport moins pratiqué par les femmes que par les hommes.;https://fr.wikipedia.org/wiki/Golf
1;Sport niv 1;8;fr;Laquelle de ces propositions ne retrouve-t-on pas sur un vélo de sprinter sur piste ?;Freins;1;Le pratiquant de ce sport est donc obligé de pédaler en permanence jusqu'à l'arrêt complet de son vélo (pignons fixes).;https://fr.wikipedia.org/wiki/Cyclisme_sur_piste
1;Sport niv 1;9;fr;Comment appelle-t-on une descente rapide en ski alpin ?;Schuss;1;En compétition, durant les épreuves de vitesse, le bâton est profilé pour épouser la forme du corps du skieur lors du schuss.;https://fr.wikipedia.org/wiki/Ski_alpin
1;Sport niv 1;10;fr;Quel nombre de jeux chaque set de tennis comporte-t-il ?;Au moins six;1;Le mot tennis provient du français tenez, mot que l'on adressait à l'adversaire au moment de servir.;https://fr.wikipedia.org/wiki/Tennis
1;Sport niv 1;11;fr;En épreuve de saut en longueur, à combien d'essais chaque concurrent a-t-il droit ?;Trois;2;Le record du monde masculin de saut en longueur est détenu depuis 1991 par Mike Powell avec un saut à 8,95 mètres.;https://fr.wikipedia.org/wiki/Saut_en_longueur
1;Sport niv 1;12;fr;En kayak, de quel type de pagaie se sert-on pour avancer ou reculer ?;Double;2;Le kayak est parfois confondu avec le canoë, la pratique sportive étant désignée par le terme général canoë-kayak.;https://fr.wikipedia.org/wiki/Kayak
1;Sport niv 1;13;fr;Quel était le nom de la navigatrice en solitaire française, skipper du Biotherm ?;Florence Artaud;2;Florence Artaud a perdu la vie dans un accident d'hélicoptère alors qu'elle participait au tournage de l'émission « Dropped » de TF1.;https://fr.wikipedia.org/wiki/Florence_Arthaud
1;Sport niv 1;14;fr;Dans le jargon de l'alpinisme, que fait un alpiniste qui dévisse ?;Il tombe;2;L'alpinisme est une pratique sportive d'ascension en haute montagne qui repose sur différentes techniques de progression.;https://fr.wikipedia.org/wiki/Alpinisme
